简介,小区,户型,面积,关注人数,观看次数,发布时间,房价,单价/平,城区,经纬度
长椿街西里 4室1厅 900万,长椿街西里 , 4室1厅 , 87.28平米 ,157人关注 , 共8次带看 , 3个月以前发布,900,单价103117元/平米,西城,"116.369558,39.904209"
车站西街1号院 业主诚心卖 看房子方便 格局好！,车站西街1号院 , 2室1厅 , 71.59平米 ,70人关注 , 共10次带看 , 2个月以前发布,610,单价85208元/平米,西城,"116.347957,39.888886"
锦上国际公寓 视野、采光好 精装修,锦上国际公寓 , 1室1厅 , 69.97平米 ,109人关注 , 共10次带看 , 3个月以前发布,510,单价72889元/平米,西城,"116.358128,39.899017"
正规南向一居室 户型方正  采光好,建功北里 , 1室1厅 , 48.67平米 ,138人关注 , 共6次带看 , 1个月以前发布,420,单价86296元/平米,西城,"116.359171,39.886349"
畅柳园南北通透 两室两厅两卫 电梯直达,畅柳园 , 2室2厅 , 109.59平米 ,53人关注 , 共6次带看 , 2个月以前发布,1200,单价109500元/平米,西城,"116.38999,39.88826"
南北通透 带地下室 展览路片区,南露园 , 2室2厅 , 111.3平米 ,71人关注 , 共9次带看 , 3个月以前发布,1100,单价98832元/平米,西城,"116.348521,39.930655"
四平园小区诚意出售的复式结构三居室98年的新房可签约,四平园 , 3室2厅 , 137.69平米 ,67人关注 , 共10次带看 , 4个月以前发布,1150,单价83521元/平米,西城,"116.386269,39.888411"
京畿道 2室1厅 1350万,京畿道 , 2室1厅 , 92.7平米 ,97人关注 , 共39次带看 , 6个月以前发布,1350,单价145632元/平米,西城,"116.374508,39.915106"
新壁街东西通透大两居，客厅30平米，户型很好，精装修,新壁街 , 2室2厅 , 104.78平米 ,41人关注 , 共8次带看 , 2个月以前发布,1150,单价109754元/平米,西城,"116.38691,39.908515"
四平园 1室1厅 560万,四平园 , 1室1厅 , 54.84平米 ,46人关注 , 共9次带看 , 1个月以前发布,560,单价102116元/平米,西城,"116.386269,39.888411"
马甸南村 2室1厅 970万,马甸南村 , 2室1厅 , 74平米 ,52人关注 , 共25次带看 , 4个月以前发布,970,单价131082元/平米,西城,"116.384103,39.972885"
永居胡同 1室1厅 430万,永居胡同 , 1室1厅 , 40.26平米 ,10人关注 , 共0次带看 , 26天以前发布,430,单价106806元/平米,西城,"116.351732,39.896549"
校场口 3室0厅 570万,校场口 , 3室0厅 , 59.96平米 ,39人关注 , 共0次带看 , 2个月以前发布,570,单价95064元/平米,西城,"116.379185,39.901597"
荣宁园 2室2厅 965万,荣宁园 , 2室2厅 , 119.54平米 ,48人关注 , 共17次带看 , 4个月以前发布,965,单价80727元/平米,西城,"116.358491,39.879543"
金宸国际公寓朝东两居  户型方正格局合理 ,金宸国际公寓 , 2室1厅 , 127.25平米 ,6人关注 , 共0次带看 , 29天以前发布,1700,单价133596元/平米,西城,"116.368189,39.918967"
西直门很便宜两居室 年代新 进步小学 南北不临街,德宝新园 , 2室1厅 , 53.6平米 ,22人关注 , 共0次带看 , 19天以前发布,400,单价74627元/平米,西城,"116.353371,39.945198"
荣丰2008 1室1厅 480万,荣丰2008 , 1室1厅 , 53.56平米 ,35人关注 , 共0次带看 , 20天以前发布,480,单价89620元/平米,西城,"116.343245,39.900529"
中华家园 中式建筑 临西二环 两梯两户,中华家园 , 3室2厅 , 239平米 ,56人关注 , 共4次带看 , 5个月以前发布,1600,单价66946元/平米,西城,"116.360418,39.877792"
德胜里一区，满五年，电力部公房，业主接受可以贷款,德胜里一区 , 2室1厅 , 67.6平米 ,52人关注 , 共37次带看 , 2个月以前发布,910,单价134616元/平米,西城,"116.383332,39.962892"
满五年且无个税，一层双南向，无占用,德外大街乙12号院 , 2室1厅 , 48.4平米 ,18人关注 , 共7次带看 , 15天以前发布,680,单价140496元/平米,西城,"116.386786,39.966887"
朱雀门 4室3厅 5190万,朱雀门 , 4室3厅 , 377平米 ,117人关注 , 共56次带看 , 一年前发布,5190,单价137666元/平米,西城,"116.395214,39.88381"
西直门南大街 1室1厅 458万,西直门南大街 , 1室1厅 , 37.9平米 ,45人关注 , 共16次带看 , 2个月以前发布,458,单价120845元/平米,西城,"116.362593,39.940019"
展览路明厨明卫格局 两南一北户型 采光足紧邻地铁   ,展览路 , 3室1厅 , 77平米 ,75人关注 , 共2次带看 , 1个月以前发布,910,单价118182元/平米,西城,"116.351337,39.931197"
新明嘉园 2室1厅 1350万,新明嘉园 , 2室1厅 , 103.5平米 ,5人关注 , 共1次带看 , 2个月以前发布,1350,单价130435元/平米,西城,"116.380814,39.966567"
万博苑 4室2厅 1580万,万博苑 , 4室2厅 , 221.9平米 ,101人关注 , 共21次带看 , 5个月以前发布,1580,单价71204元/平米,西城,"116.371885,39.876972"
广安门外南街 1室1厅 450万,广安门外南街 , 1室1厅 , 48.45平米 ,67人关注 , 共12次带看 , 1个月以前发布,450,单价92880元/平米,西城,"116.352899,39.889225"
西二环 正规南北通透四居室 户型方正,阜成门外大街 , 4室1厅 , 116.32平米 ,82人关注 , 共2次带看 , 1个月以前发布,980,单价84251元/平米,西城,"116.357508,39.928132"
真武庙二里甲10一居室西北向装修中等占用二年级,真武庙二里 , 1室1厅 , 44.4平米 ,32人关注 , 共3次带看 , 1个月以前发布,515,单价115991元/平米,西城,"116.350898,39.91087"
小红庙南里正规一居室   交通便利,小红庙南里 , 1室1厅 , 45.32平米 ,28人关注 , 共5次带看 , 7个月以前发布,430,单价94881元/平米,西城,"116.344653,39.886275"
马连道 南北正规一居室 1996年建成 通透性好,马连道西里 , 1室1厅 , 51.64平米 ,94人关注 , 共13次带看 , 2个月以前发布,406,单价78622元/平米,西城,"116.332489,39.89064"
南线里小区 1室1厅 530万,南线里小区 , 1室1厅 , 63.35平米 ,26人关注 , 共21次带看 , 4个月以前发布,530,单价83663元/平米,西城,"116.358644,39.892101"
塔院胡同12号院 2室1厅 830万,塔院胡同12号院 , 2室1厅 , 62.9平米 ,52人关注 , 共12次带看 , 1个月以前发布,830,单价131956元/平米,西城,"116.387942,39.962414"
西城区二环里 建功南里东南北向大三居,建功南里 , 3室1厅 , 117平米 ,158人关注 , 共9次带看 , 3个月以前发布,930,单价79488元/平米,西城,"116.359316,39.882762"
南礼士路甲62号两居室，小区环境好，靠近复兴门地铁,南礼士路甲62号院 , 2室1厅 , 59平米 ,85人关注 , 共17次带看 , 2个月以前发布,650,单价110170元/平米,西城,"116.360139,39.915349"
东西通透两居室  有客厅  无遮挡采光好,南礼士路三条北里 , 2室1厅 , 57.3平米 ,38人关注 , 共2次带看 , 1个月以前发布,650,单价113439元/平米,西城,"116.357162,39.918178"
尚座大厦 诚心出售的四居室 交通位置佳,尚座大厦 , 4室1厅 , 187.16平米 ,16人关注 , 共3次带看 , 4个月以前发布,1704,单价91046元/平米,西城,"116.374684,39.906371"
西长安街片区，总价低小两居，南北向楼层低,罗贤胡同 , 2室1厅 , 54平米 ,196人关注 , 共22次带看 , 2个月以前发布,675,单价125000元/平米,西城,"116.387083,39.918701"
广安门外广华轩3室2厅改善住房佳选,广华轩 , 3室2厅 , 184.1平米 ,12人关注 , 共4次带看 , 1个月以前发布,1388,单价75394元/平米,西城,"116.34724,39.896217"
房子满五年，精装修，楼层好，诚心出售。,里仁街1号院 , 2室1厅 , 56.07平米 ,40人关注 , 共11次带看 , 1个月以前发布,585,单价104334元/平米,西城,"116.379438,39.882377"
93年，大客厅两居，中间楼层，业主诚心出售,马甸南村 , 2室1厅 , 65.2平米 ,69人关注 , 共17次带看 , 1个月以前发布,880,单价134970元/平米,西城,"116.384103,39.972885"
西长安街片区，总价低小两居，南北向楼层低,罗贤胡同 , 2室1厅 , 54平米 ,196人关注 , 共22次带看 , 2个月以前发布,675,单价125000元/平米,西城,"116.387083,39.918701"
电梯直达南向两居室 采光棒无遮挡 户型方正,万明路18号院 , 2室1厅 , 73.48平米 ,40人关注 , 共27次带看 , 3个月以前发布,638,单价86827元/平米,西城,"116.396513,39.894353"
凌云居西北向两居室 双线换乘 有电梯,凌云居 , 2室1厅 , 87.62平米 ,115人关注 , 共18次带看 , 5个月以前发布,660,单价75326元/平米,西城,"116.374284,39.89445"
满五年北广器材厂公房 南北通透  看房联系,什坊街 , 2室1厅 , 58平米 ,58人关注 , 共25次带看 , 3个月以前发布,810,单价139656元/平米,西城,"116.390606,39.968195"
德胜门 新明胡同 公安局家属楼 带电梯 可落户大两居 ,新明胡同 , 2室1厅 , 74.7平米 ,73人关注 , 共107次带看 , 5个月以前发布,1000,单价133869元/平米,西城,"116.384092,39.96456"
红莲晴园  东北三居  诚心出售 公房社区,红莲晴园 , 3室2厅 , 109.6平米 ,71人关注 , 共9次带看 , 3个月以前发布,900,单价82117元/平米,西城,"116.338389,39.889219"
三期复式，明厨明卫，带燃气，可改两居室,荣丰2008 , 2室1厅 , 40.73平米 ,129人关注 , 共17次带看 , 1个月以前发布,520,单价127671元/平米,西城,"116.343245,39.900529"
华龙美钰 203平低板楼带电梯 平层南北通透4居加储物间,华龙美钰 , 4室2厅 , 202.39平米 ,46人关注 , 共5次带看 , 4个月以前发布,2260,单价111666元/平米,西城,"116.373773,39.87765"
德胜门 冰窖胡同73号院 南北通透带客厅两居室 ,冰窖口胡同73号院 , 2室1厅 , 62平米 ,134人关注 , 共22次带看 , 5个月以前发布,850,单价137097元/平米,西城,"116.380149,39.95727"
广安门南街云和公寓中国移动公房社区,广安门南街 , 2室1厅 , 83.32平米 ,52人关注 , 共16次带看 , 1个月以前发布,740,单价88815元/平米,西城,"116.357588,39.886564"
西城区 西南两居室  可以做门脸房可以居住,鸭子桥路 , 2室1厅 , 71.41平米 ,10人关注 , 共11次带看 , 31天以前发布,560,单价78421元/平米,西城,"116.352673,39.881715"
长安街沿线 西南两居室 满五年 月坛片区,复兴门外大街 , 2室1厅 , 52.9平米 ,113人关注 , 共41次带看 , 4个月以前发布,630,单价119093元/平米,西城,"116.34688,39.912912"
房屋户型方正，南北通透，诚心出售,人定湖西里 , 2室1厅 , 53.6平米 ,70人关注 , 共10次带看 , 3个月以前发布,720,单价134329元/平米,西城,"116.389326,39.963727"
立恒名苑 2室2厅 1000万,立恒名苑 , 2室2厅 , 143.68平米 ,53人关注 , 共13次带看 , 5个月以前发布,1000,单价69600元/平米,西城,"116.354608,39.889087"
茶贸       开间      145万,茶贸国际中心 , 1室0厅 , 34.22平米 ,102人关注 , 共20次带看 , 2个月以前发布,145,单价42373元/平米,西城,"116.333603,39.892188"
西城区集中供暖！2000年商品房！有地下车位,天缘公寓 , 3室2厅 , 179.55平米 ,66人关注 , 共103次带看 , 一年前发布,920,单价51240元/平米,西城,"116.358011,39.882948"
手帕口西一巷 1室1厅 360万,手帕口西一巷 , 1室1厅 , 41.43平米 ,437人关注 , 共53次带看 , 7个月以前发布,360,单价86894元/平米,西城,"116.347688,39.890862"
玉桃园二区 2室2厅 1130万,玉桃园二区 , 2室2厅 , 115.4平米 ,44人关注 , 共8次带看 , 1个月以前发布,1130,单价97921元/平米,西城,"116.367291,39.948688"
顺城街一小 中间楼层精装一居室 诚意出售,新壁街 , 1室0厅 , 51.86平米 ,22人关注 , 共8次带看 , 1个月以前发布,630,单价121481元/平米,西城,"116.38691,39.908515"
六层板楼带电梯，精装修，业主诚心出售,广安门外南街 , 3室2厅 , 156.29平米 ,52人关注 , 共3次带看 , 2个月以前发布,1250,单价79980元/平米,西城,"116.352899,39.889225"
西便门外大街三居室，南北通透，精装修。,西便门内大街79号院 , 3室1厅 , 69.87平米 ,266人关注 , 共5次带看 , 2个月以前发布,630,单价90168元/平米,西城,"116.357163,39.90103"
南北通透户型，全明格局，视野宽阔，采光充足,西便门内大街97号院 , 2室2厅 , 77.61平米 ,76人关注 , 共1次带看 , 3个月以前发布,700,单价90195元/平米,西城,"116.359157,39.898659"
精装南北向两居室 业主诚意出售,新德街35号院 , 2室1厅 , 58.9平米 ,93人关注 , 共4次带看 , 3个月以前发布,860,单价146011元/平米,西城,"116.380981,39.963101"
平原里小区  陶然亭公园  南北通透 ,平原里小区 , 1室1厅 , 43.65平米 ,161人关注 , 共3次带看 , 3个月以前发布,330,单价75602元/平米,西城,"116.37913,39.887761"
"西城区，荣丰一期大开间，满两年 ,低楼层",荣丰2008 , 1室0厅 , 36.65平米 ,45人关注 , 共8次带看 , 7个月以前发布,366,单价99864元/平米,西城,"116.343245,39.900529"
天宁寺西里 2室1厅 500万,天宁寺西里 , 2室1厅 , 58.27平米 ,95人关注 , 共8次带看 , 2个月以前发布,500,单价85808元/平米,西城,"116.350008,39.898877"
04年新房 朝南向 大窗户 能改两居 可看房 随时签约,新街口西里二区 , 1室1厅 , 66.65平米 ,17人关注 , 共2次带看 , 3个月以前发布,420,单价63016元/平米,西城,"116.374101,39.951363"
阜成门外大街朝南一居室，采光好无遮挡,阜成门外大街 , 1室1厅 , 39.2平米 ,61人关注 , 共7次带看 , 1个月以前发布,495,单价126276元/平米,西城,"116.357508,39.928132"
阳光丽景 正规一居 客厅面积大可改一间卧室 明厨暗卫,阳光丽景 , 1室1厅 , 64.49平米 ,52人关注 , 共10次带看 , 1个月以前发布,965,单价149636元/平米,西城,"116.392695,39.969608"
新街口西里一区 1室1厅 600万,新街口西里一区 , 1室1厅 , 49.97平米 ,163人关注 , 共35次带看 , 5个月以前发布,600,单价120073元/平米,西城,"116.376346,39.951025"
长椿街宣武门西大街 南向无遮挡 低层无遮挡,宣武门西大街 , 2室1厅 , 55.72平米 ,112人关注 , 共2次带看 , 1个月以前发布,560,单价100503元/平米,西城,"116.371787,39.905909"
西城区 精装修 太平里两居室 地铁7号线南侧,太平里 , 2室1厅 , 112.14平米 ,20人关注 , 共1次带看 , 1个月以前发布,898,单价80079元/平米,西城,"116.329679,39.887968"
新街口西里三区 2室1厅 650万,新街口西里三区 , 2室1厅 , 55.9平米 ,164人关注 , 共31次带看 , 3个月以前发布,650,单价116280元/平米,西城,"116.372605,39.949564"
平原里小区 2室1厅 380万,平原里小区 , 2室1厅 , 60平米 ,102人关注 , 共6次带看 , 9个月以前发布,380,单价63334元/平米,西城,"116.37913,39.887761"
西城区 西直门 成铭大厦 宽敞大两居 可落户 ,成铭大厦 , 2室1厅 , 174.49平米 ,4人关注 , 共1次带看 , 1个月以前发布,960,单价55018元/平米,西城,"116.363229,39.945163"
一瓶 1室1厅 379万,一瓶 , 1室1厅 , 59.86平米 ,84人关注 , 共2次带看 , 28天以前发布,379,单价63315元/平米,西城,"116.390911,39.884464"
远见名苑 2室1厅 980万,远见名苑 , 2室1厅 , 90.81平米 ,20人关注 , 共1次带看 , 1个月以前发布,980,单价107918元/平米,西城,"116.344985,39.891739"
荣丰2008 1室0厅 355万,荣丰2008 , 1室0厅 , 36.65平米 ,23人关注 , 共2次带看 , 19天以前发布,355,单价96863元/平米,西城,"116.343245,39.900529"
玉桃园二区 4室2厅 1450万,玉桃园二区 , 4室2厅 , 139平米 ,65人关注 , 共91次带看 , 2个月以前发布,1450,单价104317元/平米,西城,"116.367291,39.948688"
德胜门延安大院 中间楼层两居室 南向阳光房,新外大街甲8号院 , 2室1厅 , 56.2平米 ,69人关注 , 共100次带看 , 3个月以前发布,820,单价145908元/平米,西城,"116.378553,39.968971"
政泰家园 2室1厅 460万,政泰家园 , 2室1厅 , 58.58平米 ,80人关注 , 共40次带看 , 1个月以前发布,460,单价78526元/平米,西城,"116.352069,39.879651"
广华轩 2室1厅 880万,广华轩 , 2室1厅 , 109.1平米 ,43人关注 , 共47次带看 , 1个月以前发布,880,单价80660元/平米,西城,"116.34724,39.896217"
椿树园全南向两居室 紧邻沃尔玛购物超市,椿树园 , 2室1厅 , 67.2平米 ,166人关注 , 共363次带看 , 3个月以前发布,700,单价104167元/平米,西城,"116.385168,39.900454"
鸭子桥北里 双南向  中间楼层 正规两居,鸭子桥北里 , 2室1厅 , 42.75平米 ,136人关注 , 共103次带看 , 2个月以前发布,430,单价100585元/平米,西城,"116.354792,39.885022"
广安门车站东街  南北两居 低楼层环境好,车站东街15号院 , 2室1厅 , 69平米 ,37人关注 , 共49次带看 , 3个月以前发布,750,单价108696元/平米,西城,"116.351933,39.887523"
远见名苑 东北向 高楼层 两居室,远见名苑 , 2室2厅 , 78.6平米 ,120人关注 , 共78次带看 , 3个月以前发布,720,单价91604元/平米,西城,"116.344985,39.891739"
牛街南口，泰和嘉苑1层底商，不限购,泰和嘉苑 , 1室0厅 , 78.94平米 ,13人关注 , 共2次带看 , 4个月以前发布,600,单价76008元/平米,西城,"116.368588,39.890308"
低楼层，东西通透，全明格局，户型方正无浪费。,椿树馆街35号院 , 2室1厅 , 58.16平米 ,45人关注 , 共31次带看 , 1个月以前发布,580,单价99725元/平米,西城,"116.352791,39.889814"
南北通透两居室 随时可看 业主诚心出售,新外大街28号院 , 2室1厅 , 59.4平米 ,27人关注 , 共12次带看 , 20天以前发布,860,单价144782元/平米,西城,"116.38037,39.958917"
西直门，二环内、总价较低、户型南北通透、随时看房,后桃园胡同9号院 , 2室1厅 , 54.8平米 ,29人关注 , 共16次带看 , 26天以前发布,585,单价106752元/平米,西城,"116.367572,39.949902"
金贸 不限购  可以注册  可贷款,金贸中心 , 1室0厅 , 64.02平米 ,86人关注 , 共29次带看 , 20天以前发布,260,单价40613元/平米,西城,"116.355197,39.944937"
楼层好 双东向两居室 交通便利 配套齐全,西便门外大街 , 2室1厅 , 65平米 ,19人关注 , 共13次带看 , 1个月以前发布,715,单价110000元/平米,西城,"116.357739,39.908038"
阜成门南北通透两居  中间楼层带客厅,百万庄2号院 , 2室1厅 , 69.1平米 ,23人关注 , 共0次带看 , 1个月以前发布,840,单价121563元/平米,西城,"116.359081,39.9336"
独立小院 满五公房 南北通透采光好,裕中西里 , 2室1厅 , 59.7平米 ,128人关注 , 共12次带看 , 5个月以前发布,695,单价116416元/平米,西城,"116.391726,39.978788"
裕中西里 2室1厅 800万,裕中西里 , 2室1厅 , 64.64平米 ,68人关注 , 共0次带看 , 3个月以前发布,800,单价123763元/平米,西城,"116.391726,39.978788"
70年产权，西城房本，诚意卖，方便看房，随时签约,华龙大厦 , 2室1厅 , 265平米 ,5人关注 , 共23次带看 , 1个月以前发布,1450,单价54717元/平米,西城,"116.389815,39.977082"
鸭子桥南里小区 低楼层 南北通透两居室,鸭子桥南里 , 2室1厅 , 61平米 ,93人关注 , 共18次带看 , 6个月以前发布,500,单价81968元/平米,西城,"116.353895,39.879645"
鸭子桥南里小区 低楼层 南北通透两居室,鸭子桥南里 , 2室1厅 , 61平米 ,93人关注 , 共18次带看 , 6个月以前发布,500,单价81968元/平米,西城,"116.353895,39.879645"
西城德胜置业+2005年电梯房+南向大3居+民水民电,德胜置业 , 3室1厅 , 223.69平米 ,40人关注 , 共25次带看 , 10个月以前发布,1800,单价80469元/平米,西城,"116.38894,39.968913"
建功南里，东向一居，格局好，精装修，电梯直达,建功南里 , 2室1厅 , 48.04平米 ,205人关注 , 共12次带看 , 4个月以前发布,453,单价94297元/平米,西城,"116.359316,39.882762"
70年产权，西城房本，诚意卖，方便看房，随时签约,华龙大厦 , 2室1厅 , 265平米 ,5人关注 , 共23次带看 , 1个月以前发布,1450,单价54717元/平米,西城,"116.389815,39.977082"
三义东里 两居室 全明格局 480万,三义东里 , 2室1厅 , 57.49平米 ,103人关注 , 共11次带看 , 1个月以前发布,480,单价83493元/平米,西城,"116.336949,39.894054"
信建里小区 3室1厅 750万,信建里小区 , 3室1厅 , 82.92平米 ,142人关注 , 共13次带看 , 5个月以前发布,750,单价90449元/平米,西城,"116.375911,39.881969"
西二环 广安门 地铁7号线 南向一居室,荣丰2008 , 1室1厅 , 61.58平米 ,178人关注 , 共15次带看 , 2个月以前发布,430,单价69828元/平米,西城,"116.343245,39.900529"
新风街 2室1厅 855万,新风街 , 2室1厅 , 58.9平米 ,7人关注 , 共12次带看 , 2个月以前发布,855,单价145162元/平米,西城,"116.381479,39.967977"
小石桥胡同3号院 1室1厅 595万,小石桥胡同3号院 , 1室1厅 , 40.4平米 ,64人关注 , 共29次带看 , 3个月以前发布,595,单价147278元/平米,西城,"116.398824,39.952474"
西便门外大街 1室1厅 548万,西便门外大街 , 1室1厅 , 40.66平米 ,52人关注 , 共24次带看 , 2个月以前发布,548,单价134777元/平米,西城,"116.357739,39.908038"
恬心家园 1室1厅 950万,恬心家园 , 1室1厅 , 123.56平米 ,18人关注 , 共2次带看 , 7个月以前发布,950,单价76886元/平米,西城,"116.363739,39.884305"
西直门北大街时代之光名苑业主诚售一居,时代之光名苑 , 1室1厅 , 68.7平米 ,38人关注 , 共81次带看 , 2个月以前发布,595,单价86609元/平米,西城,"116.361707,39.955053"
中信城三期 小户型出售 独立厨房独立卫生间 诚心出售,中信禧园 , 1室0厅 , 58平米 ,73人关注 , 共90次带看 , 3个月以前发布,780,单价134483元/平米,西城,"116.383994,39.890405"
清芷园 3室2厅 1550万,清芷园 , 3室2厅 , 162平米 ,97人关注 , 共12次带看 , 6个月以前发布,1550,单价95680元/平米,西城,"116.378537,39.879671"
正规一室一厅 南北向 南北双阳台,牛街东里 , 1室1厅 , 53.89平米 ,132人关注 , 共9次带看 , 3个月以前发布,480,单价89071元/平米,西城,"116.373903,39.89381"
裕中东里 南北通透两居室 精装修 林业局环境好,裕中东里 , 2室1厅 , 60.4平米 ,211人关注 , 共14次带看 , 4个月以前发布,670,单价110928元/平米,西城,"116.399018,39.978141"
真武庙 1室1厅 550万,真武庙 , 1室1厅 , 41.7平米 ,11人关注 , 共8次带看 , 1个月以前发布,550,单价131895元/平米,西城,"116.356894,39.911427"
白菜湾四巷17号院 1室1厅 420万,白菜湾四巷17号院 , 1室1厅 , 37.73平米 ,294人关注 , 共11次带看 , 7个月以前发布,420,单价111318元/平米,西城,"116.354036,39.890734"
宣武门西大街 两居室 朝南向 低楼层 ,宣武门西大街 , 2室1厅 , 56.25平米 ,55人关注 , 共10次带看 , 3个月以前发布,650,单价115556元/平米,西城,"116.371787,39.905909"
西城区二环内 正规朝南三居室  带电梯 诚心出售,圣都大厦 , 3室2厅 , 164.6平米 ,28人关注 , 共8次带看 , 3个月以前发布,1100,单价66829元/平米,西城,"116.363131,39.883557"
木樨地 一室一厅一厨一卫 449万,木樨地 , 1室1厅 , 44.7平米 ,152人关注 , 共8次带看 , 4个月以前发布,449,单价100448元/平米,西城,"116.345639,39.909672"
2011年电梯商品房，24小时保安，封闭小区一居室带燃气,京师吉地 , 1室1厅 , 62.27平米 ,116人关注 , 共73次带看 , 5个月以前发布,838,单价134576元/平米,西城,"116.385363,39.971122"
荣丰2008，北向复式，婚房精装，上下两层，挑高4.8米,荣丰2008 , 1室1厅 , 28.41平米 ,257人关注 , 共7次带看 , 2个月以前发布,365,单价128476元/平米,西城,"116.343245,39.900529"
裕中西里 全南向两居室 中楼层精装 不临街 小区环境好,裕中西里 , 2室1厅 , 52.6平米 ,124人关注 , 共68次带看 , 3个月以前发布,685,单价130229元/平米,西城,"116.391726,39.978788"
双旗杆东里、扩建后双南2居、满2年、税费少、总价低,双旗杆东里 , 2室1厅 , 46.8平米 ,84人关注 , 共6次带看 , 1个月以前发布,588,单价125642元/平米,西城,"116.394288,39.972468"
月坛南街东西通透 诚心出售 满五年公房,月坛南街37号院 , 2室1厅 , 58.5平米 ,43人关注 , 共6次带看 , 1个月以前发布,630,单价107693元/平米,西城,"116.353219,39.91994"
宣武门西大街南侧 板楼南北通透两居室,宣武门外西里 , 2室1厅 , 61.1平米 ,36人关注 , 共6次带看 , 1个月以前发布,672,单价109984元/平米,西城,"116.377988,39.90484"
槐柏树街北里 低楼层 配套齐 格局好,槐柏树街北里 , 2室1厅 , 53.21平米 ,58人关注 , 共7次带看 , 4个月以前发布,650,单价122158元/平米,西城,"116.360877,39.902029"
德胜门安德路 低楼层南向一居 采光好,安德路 , 1室1厅 , 48.1平米 ,44人关注 , 共10次带看 , 4个月以前发布,620,单价128899元/平米,西城,"116.395668,39.957522"
六铺炕二区 2室1厅 645万,六铺炕二区 , 2室1厅 , 53.2平米 ,33人关注 , 共7次带看 , 13天以前发布,645,单价121241元/平米,西城,"116.395202,39.961718"
时代之光名苑 1室1厅 530万,时代之光名苑 , 1室1厅 , 65.08平米 ,24人关注 , 共16次带看 , 21天以前发布,530,单价81439元/平米,西城,"116.361707,39.955053"
华龙美钰毛坯两居室视野开阔明亮,华龙美钰 , 2室1厅 , 87.96平米 ,23人关注 , 共70次带看 , 2个月以前发布,950,单价108004元/平米,西城,"116.373773,39.87765"
茶贸国际商住两用，不限购，可以注册公司,茶贸国际中心 , 1室1厅 , 64.87平米 ,32人关注 , 共4次带看 , 3个月以前发布,290,单价44705元/平米,西城,"116.333603,39.892188"
商住两用 可以注册办公 适合投资客户，楼层高采光好！,茶贸国际中心 , 1室0厅 , 34.34平米 ,36人关注 , 共4次带看 , 3个月以前发布,160,单价46593元/平米,西城,"116.333603,39.892188"
德胜置业 带电梯 东南朝向 2005年商品房,德胜置业 , 4室2厅 , 259.97平米 ,46人关注 , 共31次带看 , 2个月以前发布,1900,单价73086元/平米,西城,"116.38894,39.968913"
凯迪尚府 精装 一居室 满两年,凯迪尚府 , 1室1厅 , 49.3平米 ,30人关注 , 共3次带看 , 2个月以前发布,568,单价115213元/平米,西城,"116.372751,39.884391"
牛街西里，东南向一居室， 采光好,牛街西里 , 1室1厅 , 57.18平米 ,59人关注 , 共3次带看 , 4个月以前发布,500,单价87444元/平米,西城,"116.368316,39.892214"
朗琴园 1室0厅 580万,朗琴园 , 1室0厅 , 58.66平米 ,23人关注 , 共2次带看 , 1个月以前发布,580,单价98875元/平米,西城,"116.348282,39.892777"
远见国际公寓一居室   业主诚心出售   达官营站地铁房,远见国际公寓 , 1室0厅 , 48.79平米 ,40人关注 , 共1次带看 , 3个月以前发布,440,单价90183元/平米,西城,"116.343502,39.894784"
西城区依莲轩小区  两居 西南朝向 业主诚售 ,依莲轩 , 2室1厅 , 95.39平米 ,44人关注 , 共4次带看 , 5个月以前发布,750,单价78625元/平米,西城,"116.334485,39.890374"
月坛北街25号院 2室1厅 850万,月坛北街25号院 , 2室1厅 , 67.5平米 ,42人关注 , 共3次带看 , 1个月以前发布,850,单价125926元/平米,西城,"116.34363,39.926024"
中信沁园 2室1厅 888万,中信沁园 , 2室1厅 , 66.52平米 ,66人关注 , 共4次带看 , 2个月以前发布,888,单价133494元/平米,西城,"116.384071,39.892118"
建功北里  东.南向大两居  电梯直达,建功北里 , 2室1厅 , 91.63平米 ,44人关注 , 共7次带看 , 6个月以前发布,850,单价92765元/平米,西城,"116.359171,39.886349"
精装两居室 看房方便 诚心出售,安德路 , 2室1厅 , 59.1平米 ,23人关注 , 共7次带看 , 5个月以前发布,800,单价135364元/平米,西城,"116.395668,39.957522"
葱店胡同2号院 2室1厅 730万,葱店胡同2号院 , 2室1厅 , 61.9平米 ,84人关注 , 共19次带看 , 1个月以前发布,730,单价117933元/平米,西城,"116.364387,39.943285"
新外大街甲4号院 2室1厅 750万,新外大街甲4号院 , 2室1厅 , 53.1平米 ,9人关注 , 共6次带看 , 2个月以前发布,750,单价141243元/平米,西城,"116.377413,39.970565"
铁四区 南向一居 满五年 诚心出售。,西便门外大街 , 1室1厅 , 39.8平米 ,43人关注 , 共3次带看 , 1个月以前发布,510,单价128141元/平米,西城,"116.357739,39.908038"
新德街35号院 4室1厅 1160万,新德街35号院 , 4室1厅 , 86.4平米 ,41人关注 , 共3次带看 , 3个月以前发布,1160,单价134260元/平米,西城,"116.380981,39.963101"
祥和家苑商品房高楼层大开间 视野好 诚意出售,祥和家苑 , 1室0厅 , 53.78平米 ,52人关注 , 共2次带看 , 1个月以前发布,420,单价78096元/平米,西城,"116.36956,39.889365"
